id,local_articles,total_articles,local_docs,total_docs,question
4,2,4,2,4,Hộ kinh doanh cần đáp ứng điều kiện gì để được hưởng hỗ trợ khi chuyển đổi thành doanh nghiệp nhỏ và vừa?
8,7,9,7,9,Doanh nghiệp nhỏ và vừa khởi nghiệp sáng tạo cần đáp ứng điều kiện nào để được hỗ trợ?
9,3,4,3,4,Công ty sản xuất nhỏ và vừa tham gia chuỗi giá trị sẽ được hỗ trợ những nội dung gì?
12,1,8,1,7,Doanh nghiệp nhỏ và vừa có thể được hỗ trợ những gì để nâng cao khả năng tiếp cận tín dụng?
13,3,5,2,4,Quỹ bảo lãnh tín dụng doanh nghiệp nhỏ và vừa căn cứ vào những điều kiện nào để cấp bảo lãnh cho công ty?
14,1,4,1,4,"Khi nhận hỗ trợ từ Nhà nước, công ty nhỏ và vừa có trách nhiệm gì về nguồn lực đối ứng?"
15,1,5,1,3,Công ty nhỏ và vừa có thể nhận nguồn vốn hỗ trợ từ những nguồn nào?
18,5,6,5,6,"Để được lựa chọn là doanh nghiệp nhỏ và vừa khởi nghiệp sáng tạo, công ty cần cung cấp những loại giấy chứng nhận giải thưởng nào?"
19,5,9,4,8,Doanh nghiệp nhỏ và vừa được hỗ trợ tư vấn theo nội dung và mức hỗ trợ nào?
20,2,5,2,4,"Những hình thức doanh nghiệp nhỏ và vừa nào được lựa chọn để tham gia chuỗi giá trị sản xuất, chế biến?"
21,2,3,2,3,Đối tượng nào được tham gia khóa đào tạo trực tiếp về khởi sự kinh doanh dành cho doanh nghiệp nhỏ và vừa?
23,1,3,1,3,Khi doanh nghiệp nhỏ và vừa khởi nghiệp sáng tạo được hỗ trợ duy trì tài khoản trên sàn thương mại điện tử quốc tế thì bao gồm những chi phí nào?
24,4,5,4,5,Hồ sơ đề xuất hỗ trợ doanh nghiệp nhỏ và vừa cần bao gồm những thành phần nào?
25,1,5,1,4,"Khi cho học viên tham gia các khóa đào tạo trong và ngoài nước để tham gia chuỗi giá trị, công ty được hỗ trợ những chi phí cụ thể nào?"
26,6,8,6,8,Công ty muốn thuê hoặc mua các giải pháp chuyển đổi số được hỗ trợ chi phí thì cần tìm ở đâu?
28,3,5,3,5,Công ty sản xuất nhỏ và vừa có những hình thức liên kết nào trong cụm liên kết ngành để được xem xét hỗ trợ?
39,5,5,4,4,Công ty tôi có được đề xuất nhiều nội dung hỗ trợ khác nhau trong cùng một hồ sơ đề xuất không?
58,1,3,1,2,Công ty có bị coi là vi phạm pháp luật nếu cho người khác sử dụng mã số thuế của mình không?
